algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
FCFS,0,4,75,14,93.28,19236.19,20875.00,3431.04,2275.20,2358.00,1279.97,18434.36,20030.00,3433.27,2.88,1.00,4.62
SJF,0,4,75,14,92.35,11726.97,11438.00,6628.16,3984.45,167.00,6073.56,10924.37,11437.00,4742.48,2.88,3.00,1.37
RR,81,5,75,14,89.20,19699.87,19612.00,3917.83,2674.83,2252.00,2151.38,18897.01,18952.00,3886.17,2.78,1.00,3.70
FCFS,0,5,75,14,91.86,19599.67,21181.00,3341.66,2320.05,2419.00,1308.62,18797.33,20415.00,3357.40,2.88,1.00,4.51
SJF,0,5,75,14,91.29,12958.49,13018.00,5968.01,3085.11,138.00,4970.40,12157.43,12232.00,4913.43,2.88,3.00,1.58
RR,81,1,75,25,96.22,17710.41,17995.00,3939.73,2436.79,2076.00,2160.89,16947.75,17361.00,3901.63,3.00,1.00,3.85
FCFS,0,1,75,25,97.88,17818.73,19666.00,3949.01,2204.53,2160.00,1309.11,17057.67,18901.00,3936.45,3.13,1.00,4.82
SJF,0,1,75,25,97.83,11239.55,11500.00,6254.39,3285.41,93.00,5203.55,10479.13,10554.00,4605.64,3.13,3.00,1.33
RR,81,2,75,25,94.43,18217.57,18374.00,3871.92,2505.25,2064.00,2279.38,17455.28,17676.00,3840.17,3.00,1.00,3.97
FCFS,0,2,75,25,96.44,18181.27,20035.00,3905.50,2232.49,2210.00,1326.94,17421.05,19212.00,3901.54,3.00,1.00,4.76
SJF,0,2,75,25,95.41,11390.77,10829.00,6154.75,2989.27,86.00,5307.23,10629.81,10384.00,4578.87,3.00,3.00,1.71
RR,81,3,75,25,92.58,18482.23,18757.00,3712.20,2773.28,2316.00,2767.63,17719.88,18015.00,3691.09,2.88,1.00,3.91
FCFS,0,3,75,25,94.88,18488.89,20360.00,4000.38,2289.76,2270.00,1364.01,17727.21,19596.00,3996.93,3.00,1.00,4.54
SJF,0,3,75,25,93.88,11568.01,11155.00,6356.84,3218.92,98.00,5609.99,10806.96,11171.00,5044.67,3.00,3.00,1.26
RR,81,4,75,25,90.45,18860.17,19120.00,3712.78,2896.37,2559.00,2614.10,18096.52,18378.00,3666.43,2.88,1.00,3.73
FCFS,0,4,75,25,93.34,18868.37,20762.00,3995.88,2309.53,2319.00,1371.41,18106.72,19974.00,4011.67,2.88,1.00,4.58
SJF,0,4,75,25,93.12,12186.72,12587.00,6464.58,3546.44,144.00,5525.46,11424.11,11228.00,5034.31,2.88,3.00,1.34
RR,81,5,75,25,89.12,19281.24,19424.00,4370.78,2847.88,2550.00,2442.47,18518.69,18636.00,4329.71,2.78,1.00,3.54
FCFS,0,5,75,25,91.80,19261.68,21134.00,3927.14,2367.00,2397.00,1403.14,18499.83,20352.00,3926.54,2.88,1.00,4.29
SJF,0,5,75,25,91.84,12067.93,11859.00,6729.24,4192.32,178.00,6163.67,11306.20,11437.00,4758.57,2.88,3.00,1.28
RR,81,1,75,36,96.16,17594.85,17440.00,3086.06,2562.68,2302.00,2031.08,16794.19,16651.00,3049.80,3.00,1.00,3.92
FCFS,0,1,75,36,97.90,17824.00,19209.00,2929.61,2226.67,2528.00,1111.26,17024.12,18389.00,2899.13,3.13,1.00,4.51
SJF,0,1,75,36,97.62,11236.76,11127.00,5912.59,2646.15,91.00,4835.02,10437.35,10601.00,3915.88,3.13,3.00,1.60
RR,81,2,75,36,94.35,17749.87,17695.00,3274.25,2812.80,2374.00,2406.50,16948.29,16860.00,3249.75,3.00,1.00,3.74
FCFS,0,2,75,36,96.31,18143.25,19482.00,2968.76,2261.60,2567.00,1132.75,17344.37,18634.00,2962.61,3.13,1.00,4.82
SJF,0,2,75,36,95.91,11408.99,12229.00,6295.23,3364.35,123.00,5466.59,10609.76,10984.00,4257.38,3.13,4.00,1.70
RR,81,3,75,36,92.54,18305.89,18191.00,3105.30,2815.73,2414.00,2415.71,17505.99,17397.00,3089.86,3.00,1.00,3.94
FCFS,0,3,75,36,94.79,18489.91,19881.00,2986.63,2302.67,2611.00,1157.04,17689.93,19059.00,2995.91,3.00,1.00,4.58
SJF,0,3,75,36,94.67,11975.07,12684.00,6164.29,3900.35,142.00,6416.21,11175.44,11842.00,4107.93,3.00,3.00,1.91
RR,81,4,75,36,90.69,18775.84,18782.00,3470.89,2882.25,2526.00,2417.46,17974.07,18103.00,3452.65,2.88,1.50,3.91
FCFS,0,4,75,36,93.26,18870.71,20276.00,3048.89,2347.61,2672.00,1178.06,18070.44,19500.00,3051.66,3.00,1.00,4.56
SJF,0,4,75,36,92.97,12271.88,11852.00,6109.01,3638.57,104.00,6051.59,11471.13,11994.00,3893.93,3.00,3.00,1.53
RR,81,5,75,36,89.03,19028.92,19062.00,3810.06,2828.87,2611.00,2068.26,18227.68,18305.00,3792.53,2.88,1.00,3.70
FCFS,0,5,75,36,91.77,19198.89,20596.00,3076.56,2392.97,2736.00,1199.72,18399.43,19817.00,3084.81,2.88,1.00,4.61
SJF,0,5,75,36,91.84,11900.48,12670.00,6792.51,3502.81,168.00,5821.35,11100.07,11143.00,4274.57,3.00,3.00,1.35
RR,81,1,75,47,96.19,17817.03,17640.00,3109.78,2542.15,1993.00,2026.38,17050.47,16837.00,3080.57,3.13,1.00,4.46
FCFS,0,1,75,47,97.89,17781.83,19132.00,2819.98,2337.13,2237.00,1438.51,17017.41,18314.00,2844.45,3.13,1.50,4.67
SJF,0,1,75,47,97.10,10726.81,10274.00,6024.38,3803.23,142.00,5934.55,9962.19,10456.00,4395.22,3.13,3.00,1.62
RR,81,2,75,47,94.25,18144.28,17845.00,3150.81,2416.48,2030.00,1798.89,17378.43,17136.00,3113.50,3.00,2.00,4.37
FCFS,0,2,75,47,96.17,18174.83,19523.00,2796.66,2378.47,2321.00,1458.71,17408.77,18707.00,2810.94,3.13,1.00,4.95
SJF,0,2,75,47,96.18,11576.00,11845.00,5876.89,3381.19,133.00,5634.77,10811.65,10747.00,4355.65,3.13,3.50,1.68
RR,81,3,75,47,92.42,18401.33,18403.00,3399.74,2343.65,2110.00,1501.50,17634.55,17660.00,3355.37,3.00,1.00,4.14
FCFS,0,3,75,47,94.70,18449.77,19847.00,2906.20,2412.01,2353.00,1480.46,17684.83,19047.00,2908.99,3.00,1.00,4.89
SJF,0,3,75,47,94.30,11035.97,10650.00,6602.52,4017.03,327.00,5741.05,10270.33,10646.00,4300.18,3.00,3.00,1.15
RR,81,4,75,47,90.63,18875.16,19133.00,3682.80,2600.55,2172.00,1995.06,18109.07,18394.00,3635.76,2.88,1.00,3.99
FCFS,0,4,75,47,93.13,18837.65,20231.00,2949.68,2454.47,2422.00,1505.52,18072.33,19427.00,2963.63,3.00,1.00,4.50
SJF,0,4,75,47,93.18,12003.36,11711.00,6393.92,3209.60,119.00,5377.42,11237.88,11718.00,4472.00,3.00,3.00,1.66
RR,81,5,75,47,88.76,19377.79,19163.00,3266.12,2860.79,2303.00,2444.15,18608.71,18381.00,3244.27,2.88,1.00,4.07
FCFS,0,5,75,47,91.72,19185.17,20564.00,2996.72,2488.11,2278.00,1524.24,18419.55,19704.00,2996.08,3.00,1.00,4.74
SJF,0,5,75,47,91.12,11950.04,12295.00,6327.75,3369.27,141.00,5364.47,11185.47,11425.00,4607.90,3.00,3.00,1.53
RR,81,1,75,58,96.11,17764.31,17582.00,3151.59,2856.24,2411.00,2249.82,17007.75,16908.00,3125.81,3.13,1.00,4.26
FCFS,0,1,75,58,97.90,17813.84,19160.00,2827.58,2469.28,2660.00,1378.21,17058.00,18363.00,2826.32,3.13,1.00,4.60
SJF,0,1,75,58,97.60,11279.35,10826.00,6090.34,3190.28,125.00,5011.44,10523.12,10147.00,3733.38,3.13,3.50,1.68
RR,81,2,75,58,94.14,18461.79,18168.00,3059.16,3011.08,2700.00,2477.24,17704.56,17473.00,3021.61,3.00,1.00,4.59
FCFS,0,2,75,58,96.29,18112.00,19411.00,2852.18,2510.56,2710.00,1411.40,17356.83,18690.00,2862.88,3.13,1.00,4.82
SJF,0,2,75,58,96.23,11351.39,11442.00,6386.66,3582.96,176.00,5232.85,10595.97,10488.00,4182.94,3.13,3.00,1.39
RR,81,3,75,58,92.44,18874.11,18678.00,3120.90,2831.83,2422.00,2297.11,18115.61,17999.00,3084.74,3.00,1.00,4.31
FCFS,0,3,75,58,94.76,18474.20,19807.00,2868.63,2552.68,2774.00,1435.49,17718.20,19072.00,2882.25,3.00,1.00,4.78
SJF,0,3,75,58,94.64,11441.31,11527.00,6674.01,3793.61,152.00,5686.69,10685.67,10419.00,4229.48,3.00,3.00,1.41
RR,81,4,75,58,90.64,18956.24,18807.00,3357.12,2816.60,2473.00,2245.19,18199.72,18062.00,3311.44,2.88,1.50,4.09
FCFS,0,4,75,58,93.20,18894.32,20190.00,2879.30,2595.52,2770.00,1468.70,18137.48,19500.00,2879.37,3.00,1.00,4.51
SJF,0,4,75,58,92.18,11690.71,12038.00,6414.60,4067.60,198.00,5882.08,10934.21,10214.00,4489.31,3.00,3.00,1.71
RR,81,5,75,58,88.88,19528.51,19333.00,3549.13,2789.33,2570.00,1984.32,18770.44,18631.00,3490.74,2.88,1.00,4.14
FCFS,0,5,75,58,91.62,19258.55,20558.00,2885.43,2649.08,2869.00,1490.41,18501.77,19863.00,2892.95,3.00,1.00,5.14
SJF,0,5,75,58,91.62,11833.61,11756.00,6665.65,4192.51,136.00,6305.17,11077.53,11612.00,4334.49,3.00,3.00,1.47
RR,81,1,75,69,96.08,16628.93,17088.00,3759.74,2053.15,1925.00,1341.74,15885.83,16437.00,3714.34,3.13,1.50,3.86
FCFS,0,1,75,69,97.88,16879.60,18713.00,3712.19,2076.44,1839.00,1288.00,16139.29,17877.00,3694.05,3.26,1.00,4.89
SJF,0,1,75,69,97.81,11456.37,11645.00,5328.33,3035.85,157.00,4862.72,10715.77,10226.00,4076.00,3.26,3.00,1.91
RR,81,2,75,69,94.36,17079.31,17484.00,3814.10,2186.45,1914.00,1645.88,16338.29,16801.00,3763.54,3.13,1.00,3.92
FCFS,0,2,75,69,96.14,17257.77,19038.00,3762.02,2130.12,1845.00,1319.39,16516.13,18368.00,3757.21,3.13,1.00,4.76
SJF,0,2,75,69,96.13,11012.35,11145.00,5658.36,3328.23,192.00,5094.96,10270.71,10296.00,3976.95,3.13,3.00,1.51
RR,81,3,75,69,92.38,17402.63,17679.00,3671.06,2358.25,1926.00,2048.58,16659.17,16956.00,3642.77,3.00,1.00,3.57
FCFS,0,3,75,69,94.59,17575.81,19329.00,3751.67,2170.29,1922.00,1346.84,16834.33,18695.00,3742.47,3.13,1.00,4.83
SJF,0,3,75,69,94.17,11307.80,11400.00,5787.29,2982.32,190.00,4635.65,10565.91,10968.00,4329.19,3.13,3.00,1.54
RR,81,4,75,69,90.56,18235.56,18473.00,3854.87,2199.08,2063.00,1435.04,17493.69,17799.00,3813.96,3.00,1.00,4.03
FCFS,0,4,75,69,93.01,17976.97,19796.00,3826.03,2213.88,1948.00,1364.42,17235.27,19046.00,3814.40,3.00,1.00,4.73
SJF,0,4,75,69,92.67,11006.99,11122.00,5978.67,4190.05,892.00,5671.18,10265.28,9816.00,4392.18,3.00,4.00,1.63
RR,81,5,75,69,88.83,18404.39,18764.00,4059.86,2291.01,2048.00,1659.08,17662.81,18065.00,4035.79,2.88,1.00,4.13
FCFS,0,5,75,69,91.47,18257.25,20073.00,3827.22,2240.45,1966.00,1386.54,17516.32,19348.00,3829.12,3.00,1.00,4.69
SJF,0,5,75,69,91.14,11883.71,12449.00,6179.60,3475.40,136.00,5134.76,11142.25,11477.00,4405.28,3.00,3.00,1.44
RR,81,1,75,70,96.22,17612.63,17781.00,3723.35,2542.44,2180.00,2216.61,16848.23,17090.00,3704.56,3.00,1.00,4.10
FCFS,0,1,75,70,97.87,18006.16,19619.00,3277.80,2206.08,2381.00,1289.29,17243.07,18852.00,3292.43,3.13,1.00,4.84
SJF,0,1,75,70,97.53,10972.29,11156.00,6280.86,3163.77,88.00,5242.61,10210.31,10660.00,4310.51,3.13,3.00,1.62
RR,81,2,75,70,94.24,18211.37,18403.00,3741.25,2403.89,2248.00,1812.08,17446.47,17667.00,3721.26,3.00,1.00,3.99
FCFS,0,2,75,70,96.28,18353.01,19972.00,3311.81,2245.81,2444.00,1315.06,17590.12,19203.00,3333.20,3.13,1.00,5.38
SJF,0,2,75,70,96.08,11625.79,11919.00,6022.79,3870.12,127.00,5884.37,10862.96,11498.00,4611.56,3.13,3.00,1.94
RR,81,3,75,70,92.53,18552.80,18740.00,3640.29,2496.57,2184.00,2103.49,17787.52,18005.00,3641.08,2.88,1.00,4.06
FCFS,0,3,75,70,94.71,18705.45,20373.00,3377.53,2293.24,2496.00,1342.47,17941.93,19563.00,3372.06,3.00,1.00,4.90
SJF,0,3,75,70,94.37,11532.09,12417.00,6566.89,4329.28,174.00,6395.26,10769.45,11424.00,4659.54,3.00,3.00,1.63
RR,81,4,75,70,90.63,19026.77,19204.00,3605.95,2432.12,2174.00,1927.60,18262.77,18384.00,3603.18,2.88,1.00,3.90
FCFS,0,4,75,70,93.28,19061.83,20722.00,3382.01,2330.99,2563.00,1367.52,18298.08,19935.00,3391.11,3.00,1.00,4.80
SJF,0,4,75,70,93.20,11794.93,10841.00,6646.69,4030.71,146.00,6107.18,11030.39,10882.00,4383.50,3.00,3.00,1.53
RR,81,5,75,70,89.13,19528.17,19638.00,3653.40,2250.76,2226.00,1388.72,18763.12,18878.00,3665.89,2.88,1.50,4.06
FCFS,0,5,75,70,91.77,19398.32,21099.00,3413.83,2370.69,2594.00,1391.75,18634.28,20255.00,3429.34,2.88,1.00,5.15
SJF,0,5,75,70,91.73,12014.35,12319.00,6773.51,4164.39,197.00,6379.30,11250.37,11148.00,4804.74,2.88,3.00,1.28
