algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,91,3,75,69,92.27,17945.45,18193.00,3648.07,2182.20,1994.00,1437.76,17202.53,17465.00,3619.65,3.00,1.00,4.02
RR,92,3,75,69,92.21,18119.36,18300.00,3781.09,2144.57,1972.00,1410.27,17376.23,17669.00,3748.63,3.00,1.00,4.29
RR,93,3,75,69,92.22,17954.69,18187.00,3720.28,2234.37,1962.00,1673.37,17212.05,17578.00,3690.04,3.00,1.00,4.08
RR,94,3,75,69,92.35,17892.40,18274.00,3700.16,2301.01,1991.00,1855.95,17149.97,17515.00,3665.38,3.00,1.00,4.14
RR,95,3,75,69,92.38,17575.16,17907.00,4041.60,2329.72,1951.00,1923.47,16833.91,17250.00,4014.23,3.00,1.00,3.99
RR,96,3,75,69,92.28,17569.00,17942.00,3867.74,2265.57,2026.00,1679.85,16826.20,17298.00,3839.13,3.00,2.00,3.87
RR,97,3,75,69,92.28,17554.61,17930.00,4043.61,2398.49,2068.00,1894.43,16812.29,17263.00,4023.45,3.00,1.00,4.21
RR,98,3,75,69,92.23,17828.92,18164.00,3881.66,2353.65,2053.00,1899.48,17086.32,17471.00,3860.19,3.00,1.00,4.00
RR,99,3,75,69,92.14,17801.31,18190.00,4120.31,2464.45,2085.00,1941.66,17058.68,17534.00,4091.72,3.00,1.00,4.06
RR,100,3,75,69,92.97,17706.19,18976.00,3946.80,2170.23,2025.00,1398.62,16965.00,18283.00,3940.10,3.13,1.00,4.73
RR,30,3,75,70,86.06,21135.83,22102.00,3704.62,3238.59,2132.00,3008.83,20358.31,21274.00,3654.57,2.68,0.50,3.72
RR,31,3,75,70,86.37,20907.73,21750.00,3678.12,3421.69,2125.00,3050.93,20133.71,20961.00,3629.89,2.68,1.00,3.78
RR,32,3,75,70,86.45,20684.72,21413.00,4082.38,3531.83,2274.00,3326.64,19909.11,20659.00,4037.12,2.68,1.00,3.48
RR,33,3,75,70,86.58,20364.65,21758.00,4103.69,3627.09,2265.00,3491.22,19589.56,20843.00,4051.99,2.68,1.50,3.43
RR,34,3,75,70,87.19,20652.51,21599.00,3772.52,3665.03,2399.00,3118.61,19879.36,20823.00,3732.79,2.68,0.50,3.84
RR,35,3,75,70,87.57,20598.32,20987.00,3390.44,3323.80,2140.00,2675.90,19824.67,20144.00,3336.00,2.68,1.00,3.66
RR,36,3,75,70,87.75,20279.45,20720.00,4041.86,3574.32,2498.00,3095.36,19507.89,19844.00,3964.40,2.78,1.00,3.79
RR,37,3,75,70,87.70,20134.29,21018.00,4000.18,3720.07,2483.00,3213.27,19362.32,20244.00,3961.78,2.78,1.00,3.79
RR,38,3,75,70,88.35,19657.12,20508.00,3816.65,3279.77,2155.00,3233.17,18885.92,19677.00,3751.79,2.78,1.00,3.49
RR,39,3,75,70,88.50,20213.21,21050.00,3331.72,3199.91,2581.00,2969.02,19443.63,20177.00,3311.57,2.78,1.00,3.73
RR,40,3,75,70,89.12,19424.72,20260.00,4341.21,3045.09,2680.00,2371.15,18654.52,19371.00,4299.01,2.78,1.00,3.52
RR,41,3,75,70,89.32,19434.44,21045.00,4330.27,3050.31,2664.00,2323.12,18666.76,20212.00,4274.81,2.78,1.00,3.66
RR,42,3,75,70,89.15,19631.17,20277.00,4283.15,3169.03,2679.00,2595.31,18862.31,19502.00,4221.41,2.78,1.00,3.68
RR,43,3,75,70,89.35,19546.28,21158.00,4223.56,3125.28,2615.00,2538.95,18778.59,20247.00,4157.64,2.78,1.00,3.93
RR,44,3,75,70,89.19,19945.27,20297.00,3541.16,3213.68,2505.00,2866.29,19176.15,19568.00,3487.05,2.78,1.00,3.70
RR,45,3,75,70,89.20,19747.65,20349.00,4038.99,3110.20,2595.00,2559.17,18977.79,19565.00,3996.30,2.78,1.00,3.75
RR,46,3,75,70,89.05,19845.28,21194.00,4119.82,3154.87,2699.00,2567.46,19075.83,20331.00,4070.04,2.78,1.00,3.80
RR,47,3,75,70,89.21,19693.31,20316.00,4062.90,2932.55,2289.00,2269.22,18924.72,19608.00,4011.81,2.78,2.00,3.69
RR,48,3,75,70,88.89,20717.03,21138.00,2877.07,3011.07,2355.00,2422.27,19945.09,20337.00,2821.14,2.78,0.00,4.13
RR,49,3,75,70,89.13,20529.39,20821.00,2962.02,2925.08,2246.00,2398.36,19760.95,20092.00,2921.39,2.78,0.00,4.43
