algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
FCFS,0,3,50,25,94.74,12490.00,13901.50,2798.71,1511.04,1585.50,920.94,11725.74,13038.50,2783.77,2.94,2.00,4.34
SJF,0,3,50,25,94.75,8137.70,7742.50,4575.92,2246.32,107.00,3671.94,7372.52,7815.50,2910.45,2.94,3.00,1.30
RR,80,3,50,36,92.30,12421.02,12348.00,1960.05,1846.86,1634.00,1427.88,11621.68,11684.50,1921.84,2.94,1.00,3.99
FCFS,0,3,50,36,94.61,12216.82,12995.50,1729.31,1709.30,1734.00,936.01,11418.42,12189.50,1739.56,2.94,1.00,4.29
SJF,0,3,50,36,94.63,7930.68,8180.50,4247.12,2183.58,102.00,3691.05,7133.24,7029.00,2555.81,2.94,3.00,1.68
RR,80,3,50,47,92.35,12749.16,12673.50,2166.38,1734.24,1490.50,1482.81,11968.06,11985.00,2111.25,2.78,1.00,4.14
FCFS,0,3,50,47,94.62,12815.66,13742.00,1836.33,1532.34,1548.00,893.29,12036.64,12994.50,1841.57,2.94,1.00,4.35
SJF,0,3,50,47,94.76,7846.78,7549.50,4494.02,2181.80,140.50,3710.53,7067.50,7314.50,2456.85,2.94,3.00,1.39
RR,80,3,50,58,92.29,12586.32,12558.50,2059.64,2023.64,1619.50,1859.84,11820.26,11800.00,2053.45,2.94,1.00,4.22
FCFS,0,3,50,58,94.73,12507.60,13247.50,1596.83,1777.40,1657.50,1099.39,11741.88,12459.00,1575.95,2.94,1.00,4.42
SJF,0,3,50,58,94.60,8097.70,7848.00,3969.78,2605.64,118.50,4158.51,7331.56,6784.50,3362.28,2.94,3.00,1.75
RR,80,3,50,69,92.23,11952.30,12172.00,2841.13,1538.18,1369.50,1304.59,11204.36,11472.50,2817.19,2.94,1.00,3.70
FCFS,0,3,50,69,94.71,11872.08,13007.00,2543.21,1379.60,1402.00,841.70,11125.62,12244.00,2539.81,2.94,1.00,4.35
SJF,0,3,50,69,92.98,7962.94,7897.50,4174.51,1905.74,148.00,2767.11,7217.76,7963.00,2680.68,2.94,3.00,1.56
RR,80,3,50,70,92.40,12555.94,12567.50,2817.19,1720.36,1500.50,1373.03,11781.44,11840.00,2777.70,2.78,2.00,2.98
FCFS,0,3,50,70,94.90,12777.90,13870.50,2339.58,1542.30,1425.50,962.77,12005.54,13117.50,2372.12,2.78,1.00,3.62
SJF,0,3,50,70,94.82,7878.50,6722.00,4598.21,3335.32,697.50,4248.11,7105.28,7405.50,2796.28,2.78,2.50,1.52
RR,80,3,75,14,92.44,18725.25,19137.00,3812.28,2649.52,2166.00,2223.72,17920.89,18294.00,3776.31,2.88,1.50,3.63
FCFS,0,3,75,14,94.83,18913.40,20558.00,3438.50,2247.59,2318.00,1268.48,18109.05,19743.00,3429.81,3.00,1.00,4.72
SJF,0,3,75,14,93.79,12071.03,12757.00,6420.91,2918.04,121.00,4834.42,11267.87,12080.00,4566.43,3.00,3.00,1.35
RR,80,3,75,25,92.41,18223.15,18654.00,4110.01,2614.65,2061.00,2458.19,17458.57,17896.00,4065.78,2.88,1.00,3.46
FCFS,0,3,75,25,94.79,18575.35,20468.00,4025.86,2292.51,2276.00,1371.40,17811.36,19669.00,4019.72,3.00,1.00,4.65
SJF,0,3,75,25,94.05,11702.97,11418.00,6471.96,3307.04,106.00,5560.00,10939.23,11184.00,4756.33,3.00,3.00,1.32
RR,80,3,75,36,92.26,18401.84,18395.00,3057.47,2761.57,2402.00,2378.56,17598.15,17734.00,3037.95,2.88,1.00,4.07
FCFS,0,3,75,36,94.75,18575.04,19980.00,3013.43,2306.99,2614.00,1163.81,17772.21,19144.00,3015.55,3.00,1.00,4.42
SJF,0,3,75,36,94.78,11798.96,12356.00,6405.16,3625.00,94.00,5644.03,10997.55,11650.00,4356.92,3.00,3.00,1.91
RR,80,3,75,47,92.20,18755.28,18621.00,3080.11,2514.84,2076.00,2128.62,17986.16,17896.00,3048.19,3.00,0.00,4.34
FCFS,0,3,75,47,94.67,18541.52,19925.00,2930.35,2418.13,2346.00,1494.77,17773.76,19082.00,2935.86,3.00,1.00,4.73
SJF,0,3,75,47,94.62,12057.33,11471.00,5917.04,2792.92,106.00,5236.78,11289.91,11362.00,4354.19,3.00,3.00,1.61
RR,80,3,75,58,91.87,18924.47,18610.00,3104.80,2975.67,2488.00,2428.34,18164.57,17937.00,3063.15,2.88,0.50,4.13
FCFS,0,3,75,58,94.67,18598.89,19954.00,2872.66,2559.15,2710.00,1441.02,17839.87,19147.00,2865.65,3.00,1.00,4.73
SJF,0,3,75,58,94.13,12140.99,11832.00,6016.86,3090.87,101.00,5442.31,11382.60,11122.00,4047.32,3.00,4.00,1.87
RR,80,3,75,69,92.31,17317.28,17816.00,3951.42,2495.03,1947.00,2256.80,16572.96,17009.00,3901.83,3.00,1.00,3.84
FCFS,0,3,75,69,94.54,17641.56,19487.00,3783.89,2169.05,1915.00,1346.12,16898.79,18782.00,3786.66,3.13,1.00,4.68
